Id,Name,CourseCode,CourseUnit,Semester,Description,courseCategory,DegreeId,DepartmentId,LevelId,Status,Prerequisite,InstitutionProviderId,CreatedDate,UpdatedDate
1651,Introduction to Economic History,HIS104,2,2,,0,2,18,1,,,,1900-01-01,1900-01-02
1652,Archaeology of Nigeria,HIS106,2,2,,0,2,18,1,,,,1900-01-01,1900-01-02
1653,Evolution of Contemporary International System,HIS107,2,1,,2,2,18,1,,,,1900-01-01,1900-01-02
1654,Africans from the Diaspora from Antiquity,HIS108,2,2,,0,2,18,1,,,,1900-01-01,1900-01-02
1655,Introduction to Diplomacy,HIS109,3,1,,0,2,18,1,,,,1900-01-01,1900-01-02
1656,Introduction to International Organization,HIS110,2,2,,2,2,18,1,,,,1900-01-01,1900-01-02
1657,Nigeria from 1500-1800,HIS1101,3,1,,0,2,18,1,,,,1900-01-01,1900-01-02
1658,African States and Societies 1500-1800,HIS1102,3,1,,0,2,18,1,,,,1900-01-01,1900-01-02
1659,Introduction to Economic History,HIS1103,3,1,,0,2,18,1,,,,1900-01-01,1900-01-02
1660,Africans in the Diaspora,HIS1104,3,1,,1,2,18,1,,,,1900-01-01,1900-01-02
1661,Nigeria from 1800-1960,HIS1105,3,1,,2,2,18,1,,,,1900-01-01,1900-01-02
1662,Introduction to the Study of Foreign Policy,HIS1106,3,1,,2,2,18,1,,,,1900-01-01,1900-01-02
1663,The Discipline of History,HIS1107,3,1,,0,2,18,1,,,,1900-01-01,1900-01-02
