Id,Name,Description,StateId,CreatedDate,UpdatedDate
457,Aleiro,,21,4/20/2024,4/20/2024
458,Bagudo,,21,4/20/2024,4/20/2024
459,Birnin Kebbi,,21,4/20/2024,4/20/2024
460,Bunza,,21,4/20/2024,4/20/2024
461,Dekina,,22,4/20/2024,4/20/2024
462,Ibaji,,22,4/20/2024,4/20/2024
463,Idah,,22,4/20/2024,4/20/2024
464,Igalamela-Odolu,,22,4/20/2024,4/20/2024
465,Adavi,,22,4/20/2024,4/20/2024
466,Ajaokuta,,22,4/20/2024,4/20/2024
467,Ankpa,,22,4/20/2024,4/20/2024
468,Bassa,,22,4/20/2024,4/20/2024
469,Ijumu,,22,4/20/2024,4/20/2024
470,Ofu,,22,4/20/2024,4/20/2024
471,Ogori/Magongo,,22,4/20/2024,4/20/2024
472,Okehi,,22,4/20/2024,4/20/2024
473,Okene,,22,4/20/2024,4/20/2024
474,Olamaboro,,22,4/20/2024,4/20/2024
475,Kabba/Bunu,,22,4/20/2024,4/20/2024
476,Koton Karfe,,22,4/20/2024,4/20/2024
477,Lokoja,,22,4/20/2024,4/20/2024
478,Mopa-Muro,,22,4/20/2024,4/20/2024
479,Omala,,22,4/20/2024,4/20/2024
480,Yagba East,,22,4/20/2024,4/20/2024
481,Yagba West,,22,4/20/2024,4/20/2024
482,Ilorin East,,23,4/20/2024,4/20/2024
483,Ilorin South,,23,4/20/2024,4/20/2024
484,Ilorin West,,23,4/20/2024,4/20/2024
485,Ifelodun,,23,4/20/2024,4/20/2024
486,Irepodun,,23,4/20/2024,4/20/2024
487,Isin,,23,4/20/2024,4/20/2024
488,Kaiama,,23,4/20/2024,4/20/2024
489,Moro,,23,4/20/2024,4/20/2024
490,Asa,,23,4/20/2024,4/20/2024
491,Baruten,,23,4/20/2024,4/20/2024
492,Edu,,23,4/20/2024,4/20/2024
493,Ekiti,,23,4/20/2024,4/20/2024
494,Offa,,23,4/20/2024,4/20/2024
495,Oke Ero,,23,4/20/2024,4/20/2024
496,Oyun,,23,4/20/2024,4/20/2024
497,Pategi,,23,4/20/2024,4/20/2024
498,Apapa,,24,4/20/2024,4/20/2024
499,Mushin,,24,4/20/2024,4/20/2024
500,Ojo,,24,4/20/2024,4/20/2024
501,Oshodi –Isolo,,24,4/20/2024,4/20/2024
502,Shomolu,,24,4/20/2024,4/20/2024
503,Surulere,,24,4/20/2024,4/20/2024
504,Badagry,,24,4/20/2024,4/20/2024
505,Epe,,24,4/20/2024,4/20/2024
506,Eti-Osa,,24,4/20/2024,4/20/2024
507,Ibeju-Lekki,,24,4/20/2024,4/20/2024
508,Ifako/Ijaye,,24,4/20/2024,4/20/2024
509,Ikeja,,24,4/20/2024,4/20/2024
